epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,16.0602,1.77992,1.86433,0.72087,0.60564,0.84918,0.77175,0.45229,1.43745,1.06265,0.77392,0.000389661,0.000389661,0.000389661
44,16.4144,1.66734,1.84895,0.76651,0.62645,0.87588,0.79007,0.47136,1.39686,1.07498,0.77408,0.000383058,0.000383058,0.000383058
45,16.7603,1.6662,1.7824,0.75094,0.62645,0.87588,0.79007,0.47136,1.39686,1.07498,0.77408,0.000376455,0.000376455,0.000376455
46,17.1168,1.5302,1.71149,0.75978,0.6297,0.80719,0.78838,0.46938,1.40607,1.08338,0.7744,0.000369851,0.000369851,0.000369851
47,17.4591,1.63742,1.80009,0.79093,0.58523,0.85,0.78691,0.4598,1.4742,1.09443,0.77863,0.000363248,0.000363248,0.000363248
48,17.7967,1.65149,1.74914,0.75633,0.58523,0.85,0.78691,0.4598,1.4742,1.09443,0.77863,0.000356645,0.000356645,0.000356645
49,18.1421,1.67301,1.81628,0.76954,0.57851,0.83722,0.76811,0.44945,1.50296,1.09623,0.77867,0.000350042,0.000350042,0.000350042
50,18.4778,1.77273,1.85972,0.7872,0.57851,0.83722,0.76811,0.44945,1.50296,1.09623,0.77867,0.000343438,0.000343438,0.000343438
51,18.9005,1.50846,1.85603,0.76042,0.57223,0.83762,0.78787,0.47754,1.49674,1.07568,0.77575,0.000336835,0.000336835,0.000336835
52,19.2573,1.8075,1.83887,0.75093,0.61871,0.89435,0.78885,0.48091,1.46885,1.05765,0.77325,0.000330232,0.000330232,0.000330232
53,19.603,1.62544,1.70085,0.77529,0.61871,0.89435,0.78885,0.48091,1.46885,1.05765,0.77325,0.000323628,0.000323628,0.000323628
54,19.9578,1.65481,1.7788,0.76967,0.63912,0.91002,0.7947,0.50145,1.37632,1.03923,0.77155,0.000317025,0.000317025,0.000317025
55,20.3281,1.52113,1.63945,0.7732,0.65673,0.9132,0.80395,0.50166,1.36802,1.04298,0.77351,0.000310422,0.000310422,0.000310422
56,20.6748,1.73602,1.69699,0.76134,0.65673,0.9132,0.80395,0.50166,1.36802,1.04298,0.77351,0.000303818,0.000303818,0.000303818
57,21.0324,1.68917,1.68412,0.75304,0.63565,0.91708,0.81442,0.50561,1.40264,1.08304,0.77531,0.000297215,0.000297215,0.000297215
58,21.3816,1.68769,1.61413,0.76105,0.63565,0.91708,0.81442,0.50561,1.40264,1.08304,0.77531,0.000290612,0.000290612,0.000290612
59,21.7402,1.73502,1.76452,0.76819,0.64115,0.88333,0.82538,0.50731,1.4258,1.10924,0.77551,0.000284009,0.000284009,0.000284009
60,22.0958,1.63248,1.69766,0.79025,0.67248,0.88414,0.8406,0.51479,1.43178,1.11326,0.7745,0.000277405,0.000277405,0.000277405
61,22.5148,1.56122,1.60413,0.76493,0.67248,0.88414,0.8406,0.51479,1.43178,1.11326,0.7745,0.000270802,0.000270802,0.000270802
62,22.8741,1.54996,1.68594,0.76452,0.70319,0.85,0.84124,0.51513,1.38769,1.0902,0.7752,0.000264199,0.000264199,0.000264199
63,23.2283,1.38965,1.61107,0.7788,0.69464,0.85,0.83358,0.51124,1.36802,1.06865,0.77441,0.000257595,0.000257595,0.000257595
64,23.5702,1.62839,1.85619,0.78515,0.69464,0.85,0.83358,0.51124,1.36802,1.06865,0.77441,0.000250992,0.000250992,0.000250992
65,23.918,1.47165,2.00634,0.78606,0.68754,0.84441,0.83484,0.51916,1.36337,1.05084,0.77363,0.000244389,0.000244389,0.000244389
66,24.2673,1.52413,1.73131,0.80014,0.68754,0.84441,0.83484,0.51916,1.36337,1.05084,0.77363,0.000237785,0.000237785,0.000237785
67,24.6218,1.36819,1.52405,0.75488,0.68545,0.85,0.8495,0.52983,1.31965,1.04168,0.77392,0.000231182,0.000231182,0.000231182
68,24.9753,1.54492,1.67566,0.75655,0.71344,0.88333,0.86946,0.54445,1.33543,1.03204,0.7744,0.000224579,0.000224579,0.000224579
69,25.3236,1.89848,1.63024,0.7429,0.71344,0.88333,0.86946,0.54445,1.33543,1.03204,0.7744,0.000217976,0.000217976,0.000217976
70,25.6852,1.59181,1.45408,0.73903,0.75562,0.86957,0.878,0.54734,1.38244,1.01567,0.77297,0.000211372,0.000211372,0.000211372
71,26.0415,1.72963,1.60102,0.75534,0.77424,0.88426,0.89233,0.55658,1.40422,0.98351,0.7748,0.000204769,0.000204769,0.000204769
72,26.4638,1.65879,1.60738,0.74644,0.77424,0.88426,0.89233,0.55658,1.40422,0.98351,0.7748,0.000198166,0.000198166,0.000198166
73,26.8339,1.67494,1.58266,0.76191,0.78279,0.90674,0.89924,0.56205,1.40735,0.96227,0.77614,0.000191562,0.000191562,0.000191562
74,27.1823,1.51442,1.48425,0.77332,0.78279,0.90674,0.89924,0.56205,1.40735,0.96227,0.77614,0.000184959,0.000184959,0.000184959
75,27.5378,1.39685,1.59919,0.79134,0.79724,0.91376,0.9102,0.57053,1.38266,0.95258,0.77729,0.000178356,0.000178356,0.000178356
76,27.8935,1.55503,1.53577,0.76783,0.80717,0.91065,0.91748,0.58517,1.34065,0.93304,0.77533,0.000171752,0.000171752,0.000171752
77,28.2444,1.48866,1.57119,0.77915,0.80717,0.91065,0.91748,0.58517,1.34065,0.93304,0.77533,0.000165149,0.000165149,0.000165149
78,28.6006,1.50048,1.55425,0.76093,0.8456,0.8658,0.93121,0.59956,1.32149,0.9332,0.77416,0.000158546,0.000158546,0.000158546
79,28.9619,1.51902,1.57256,0.76779,0.84215,0.85828,0.92806,0.59169,1.311,0.95378,0.77463,0.000151943,0.000151943,0.000151943
80,29.3003,1.52989,1.44969,0.74113,0.84215,0.85828,0.92806,0.59169,1.311,0.95378,0.77463,0.000145339,0.000145339,0.000145339
81,29.7257,1.56462,1.56435,0.78095,0.85859,0.85665,0.9281,0.5999,1.31366,0.9653,0.77375,0.000138736,0.000138736,0.000138736
82,30.0706,1.47008,1.51947,0.76354,0.85859,0.85665,0.9281,0.5999,1.31366,0.9653,0.77375,0.000132133,0.000132133,0.000132133
83,30.4294,1.35234,1.51049,0.78067,0.84677,0.87043,0.92738,0.579,1.32417,0.94628,0.77107,0.000125529,0.000125529,0.000125529
84,30.7746,1.50895,1.50608,0.76548,0.80565,0.89036,0.92626,0.58554,1.33739,0.92285,0.77,0.000118926,0.000118926,0.000118926
85,31.1129,1.51822,1.42817,0.77052,0.80565,0.89036,0.92626,0.58554,1.33739,0.92285,0.77,0.000112323,0.000112323,0.000112323
86,31.4557,1.48134,1.42715,0.76765,0.80673,0.92289,0.92626,0.58392,1.33288,0.89731,0.77145,0.00010572,0.00010572,0.00010572
87,31.8,1.52188,1.42446,0.7591,0.80282,0.96696,0.9292,0.59206,1.3149,0.87882,0.77161,9.91162e-05,9.91162e-05,9.91162e-05
88,32.1367,1.42679,1.52802,0.75808,0.80282,0.96696,0.9292,0.59206,1.3149,0.87882,0.77161,9.25129e-05,9.25129e-05,9.25129e-05
