epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,210.549,1.21628,1.64491,0.7735,0.57623,0.80571,0.74735,0.55306,1.00118,1.14758,0.83571,0.000486639,0.000486639,0.000486639
44,214.726,1.11504,1.61191,0.8045,0.64922,0.78333,0.77366,0.57379,1.02199,1.08773,0.83745,0.000478392,0.000478392,0.000478392
45,218.669,1.13327,1.50637,0.80141,0.64922,0.78333,0.77366,0.57379,1.02199,1.08773,0.83745,0.000470145,0.000470145,0.000470145
46,223.489,1.09833,1.54405,0.81601,0.6156,0.78837,0.78244,0.57572,1.06531,1.07197,0.84357,0.000461898,0.000461898,0.000461898
47,228.041,1.12407,1.60303,0.81138,0.60808,0.81667,0.79677,0.57878,1.08427,1.08281,0.84602,0.000453652,0.000453652,0.000453652
48,232.348,1.09388,1.51912,0.78605,0.60808,0.81667,0.79677,0.57878,1.08427,1.08281,0.84602,0.000445405,0.000445405,0.000445405
49,236.117,1.04327,1.42743,0.80223,0.62432,0.83312,0.8177,0.60558,1.01315,1.09505,0.83854,0.000437158,0.000437158,0.000437158
50,239.856,1.07979,1.4242,0.78695,0.62432,0.83312,0.8177,0.60558,1.01315,1.09505,0.83854,0.000428912,0.000428912,0.000428912
51,243.584,1.0964,1.43134,0.79542,0.70764,0.85,0.82303,0.62556,0.98379,1.06293,0.83656,0.000420665,0.000420665,0.000420665
52,247.468,1.08516,1.35893,0.79975,0.73516,0.82877,0.83458,0.64302,0.99202,1.0165,0.83805,0.000412418,0.000412418,0.000412418
53,251.866,1.13297,1.39891,0.79525,0.73516,0.82877,0.83458,0.64302,0.99202,1.0165,0.83805,0.000404172,0.000404172,0.000404172
54,256.26,1.09391,1.33572,0.82159,0.74465,0.83333,0.85063,0.62178,1.06652,0.99233,0.8427,0.000395925,0.000395925,0.000395925
55,260.968,1.08664,1.31783,0.78901,0.77357,0.82415,0.85987,0.628,1.08182,0.97744,0.84634,0.000387678,0.000387678,0.000387678
56,265.617,1.06575,1.26294,0.79403,0.77357,0.82415,0.85987,0.628,1.08182,0.97744,0.84634,0.000379431,0.000379431,0.000379431
57,270.178,1.04133,1.27978,0.8038,0.81001,0.85844,0.87311,0.65223,1.0143,0.95886,0.84155,0.000371185,0.000371185,0.000371185
58,273.974,1.10933,1.30136,0.7954,0.81001,0.85844,0.87311,0.65223,1.0143,0.95886,0.84155,0.000362938,0.000362938,0.000362938
59,277.728,1.08384,1.33137,0.7815,0.85687,0.84678,0.89095,0.67351,0.9765,0.97523,0.83817,0.000354691,0.000354691,0.000354691
60,282.58,1.06752,1.21542,0.79539,0.85298,0.88333,0.90554,0.68671,0.96876,0.98802,0.8372,0.000346445,0.000346445,0.000346445
61,287.524,1.01391,1.18277,0.78061,0.85298,0.88333,0.90554,0.68671,0.96876,0.98802,0.8372,0.000338198,0.000338198,0.000338198
62,291.715,0.9598,1.16557,0.7956,0.88064,0.87783,0.91724,0.68267,0.99174,0.95338,0.83984,0.000329951,0.000329951,0.000329951
63,296.147,1.0204,1.24958,0.80506,0.91183,0.87858,0.94346,0.69441,1.01448,0.86199,0.84371,0.000321705,0.000321705,0.000321705
64,300.588,0.99305,1.22708,0.78976,0.91183,0.87858,0.94346,0.69441,1.01448,0.86199,0.84371,0.000313458,0.000313458,0.000313458
65,304.568,0.98879,1.16721,0.79104,0.92745,0.8794,0.94693,0.70193,1.00785,0.80466,0.84348,0.000305211,0.000305211,0.000305211
66,309.007,0.98628,1.19351,0.80025,0.92745,0.8794,0.94693,0.70193,1.00785,0.80466,0.84348,0.000296964,0.000296964,0.000296964
67,313.729,0.9248,1.05913,0.79781,0.92294,0.89508,0.9546,0.7236,0.97784,0.78292,0.83798,0.000288718,0.000288718,0.000288718
68,318.17,0.98119,1.11747,0.79068,0.92237,0.91041,0.96198,0.70924,0.99765,0.77669,0.83686,0.000280471,0.000280471,0.000280471
69,322.77,1.11603,1.16269,0.76967,0.92237,0.91041,0.96198,0.70924,0.99765,0.77669,0.83686,0.000272224,0.000272224,0.000272224
70,327.2,1.05493,1.11733,0.78497,0.93776,0.90833,0.96929,0.71351,1.03596,0.80601,0.84031,0.000263978,0.000263978,0.000263978
71,332.003,1.0484,1.09343,0.78882,0.93168,0.90679,0.97502,0.70732,1.00783,0.77882,0.83771,0.000255731,0.000255731,0.000255731
72,336.448,1.0171,1.10655,0.78031,0.93168,0.90679,0.97502,0.70732,1.00783,0.77882,0.83771,0.000247484,0.000247484,0.000247484
73,340.892,1.04639,1.07527,0.78949,0.94487,0.9295,0.97558,0.71856,0.97483,0.7428,0.83682,0.000239238,0.000239238,0.000239238
74,345.204,1.02131,1.08667,0.79715,0.94487,0.9295,0.97558,0.71856,0.97483,0.7428,0.83682,0.000230991,0.000230991,0.000230991
75,349.608,0.9661,1.03697,0.79906,0.94057,0.93548,0.98056,0.72961,0.96836,0.7068,0.8364,0.000222744,0.000222744,0.000222744
76,353.829,0.9686,1.0121,0.80199,0.94366,0.95459,0.98812,0.74742,0.9794,0.68557,0.83641,0.000214497,0.000214497,0.000214497
77,358.446,0.96541,0.99365,0.80886,0.94366,0.95459,0.98812,0.74742,0.9794,0.68557,0.83641,0.000206251,0.000206251,0.000206251
78,362.827,0.97443,0.99803,0.80238,0.93498,0.9647,0.98919,0.72937,1.00927,0.67308,0.83734,0.000198004,0.000198004,0.000198004
79,366.584,1.0364,1.05339,0.79508,0.9498,0.98683,0.995,0.73952,1.01279,0.66526,0.83715,0.000189757,0.000189757,0.000189757
80,370.99,1.03869,1.0033,0.80102,0.9498,0.98683,0.995,0.73952,1.01279,0.66526,0.83715,0.000181511,0.000181511,0.000181511
81,375.307,0.95998,0.98652,0.7879,0.94409,0.98451,0.995,0.73576,1.00168,0.66368,0.83622,0.000173264,0.000173264,0.000173264
82,379.79,0.99003,0.96573,0.8039,0.94409,0.98451,0.995,0.73576,1.00168,0.66368,0.83622,0.000165017,0.000165017,0.000165017
83,384.041,0.94763,1.03509,0.80124,0.94267,0.98538,0.995,0.73616,0.99094,0.6614,0.8346,0.000156771,0.000156771,0.000156771
84,388.958,0.94433,1.02323,0.80728,0.94326,0.9853,0.995,0.74058,0.98024,0.64364,0.83367,0.000148524,0.000148524,0.000148524
85,393.4,0.9324,0.89077,0.78234,0.94326,0.9853,0.995,0.74058,0.98024,0.64364,0.83367,0.000140277,0.000140277,0.000140277
86,397.859,0.97686,0.9474,0.80219,0.96074,0.98372,0.995,0.73576,0.98834,0.6317,0.83544,0.000132031,0.000132031,0.000132031
87,402.198,0.9343,0.92454,0.79292,0.96141,0.98514,0.995,0.73564,1.01132,0.62121,0.83675,0.000123784,0.000123784,0.000123784
88,407.168,0.92683,0.9259,0.79256,0.96141,0.98514,0.995,0.73564,1.01132,0.62121,0.83675,0.000115537,0.000115537,0.000115537
89,411.169,0.95148,0.96594,0.77074,0.95999,0.98828,0.995,0.74337,1.01034,0.61982,0.83686,0.00010729,0.00010729,0.00010729
90,415.349,0.95524,0.94802,0.78771,0.95999,0.98828,0.995,0.74337,1.01034,0.61982,0.83686,9.90437e-05,9.90437e-05,9.90437e-05
91,420.424,0.91852,0.93383,0.79463,0.95678,0.98947,0.995,0.74262,0.98997,0.61251,0.83603,9.0797e-05,9.0797e-05,9.0797e-05
92,424.705,0.94839,0.98579,0.81121,0.95355,0.98854,0.995,0.74967,0.9845,0.61564,0.83525,8.25503e-05,8.25503e-05,8.25503e-05
93,429.155,0.90869,0.90659,0.80483,0.95355,0.98854,0.995,0.74967,0.9845,0.61564,0.83525,7.43036e-05,7.43036e-05,7.43036e-05
94,433.213,0.92963,0.88054,0.80998,0.95167,0.98951,0.995,0.7369,0.99071,0.60747,0.83482,6.60569e-05,6.60569e-05,6.60569e-05
95,437.7,0.88823,0.9619,0.80089,0.95131,0.99108,0.995,0.73288,0.99296,0.61421,0.83493,5.78102e-05,5.78102e-05,5.78102e-05
96,441.85,0.92761,0.89844,0.81304,0.95131,0.99108,0.995,0.73288,0.99296,0.61421,0.83493,4.95635e-05,4.95635e-05,4.95635e-05
97,446.148,0.8926,0.92317,0.80333,0.9491,0.99103,0.995,0.73202,1.00127,0.61946,0.83559,4.13168e-05,4.13168e-05,4.13168e-05
98,450.319,0.91431,0.93949,0.78726,0.9491,0.99103,0.995,0.73202,1.00127,0.61946,0.83559,3.30701e-05,3.30701e-05,3.30701e-05
99,454.028,0.87499,0.90849,0.81278,0.94672,0.99041,0.995,0.73804,1.0073,0.61832,0.83528,2.48234e-05,2.48234e-05,2.48234e-05
100,458.096,0.95008,1.04012,0.77487,0.94609,0.98991,0.995,0.74289,1.00075,0.61187,0.8348,1.65767e-05,1.65767e-05,1.65767e-05
